124.700;LEFT;05:59:40;05:59:42	;1.43
124.700;LEFT;06:00:16;06:00:19	;2.72
124.700;LEFT;06:00:22;06:00:23	;1.46
124.700;LEFT;06:00:27;06:00:30	;2.92
124.700;LEFT;06:00:37;06:00:39	;2.26
124.700;LEFT;06:00:45;06:00:48	;2.94
124.700;LEFT;06:01:00;06:01:01	;0.66
124.700;LEFT;06:01:02;06:01:08	;6.35
124.700;LEFT;06:01:13;06:01:20	;6.87
124.700;LEFT;06:01:24;06:01:28	;3.12
124.700;LEFT;06:01:57;06:02:01	;3.71
124.700;LEFT;06:02:30;06:02:32	;2.10
124.700;LEFT;06:02:37;06:02:42	;4.91
124.700;LEFT;06:02:47;06:02:52	;4.23
124.700;LEFT;06:03:32;06:03:34	;2.25
124.700;LEFT;06:04:03;06:04:09	;5.11
124.700;LEFT;06:04:22;06:04:26	;3.58
124.700;LEFT;06:04:29;06:04:31	;1.96
124.700;LEFT;06:04:39;06:04:44	;4.86
124.700;LEFT;06:04:48;06:04:49	;1.54
124.700;LEFT;06:04:53;06:04:55	;2.54
124.700;LEFT;06:04:58;06:05:00	;2.26
124.700;LEFT;06:05:08;06:05:11	;2.11
124.700;LEFT;06:05:45;06:05:49	;4.06
124.700;LEFT;06:05:52;06:05:55	;2.78
124.700;LEFT;06:05:59;06:06:02	;2.59
124.700;LEFT;06:06:14;06:06:19	;4.76
124.700;LEFT;06:06:23;06:06:27	;4.02
124.700;LEFT;06:06:28;06:06:33	;4.48
124.700;LEFT;06:06:38;06:06:41	;3.32
124.700;LEFT;06:06:56;06:07:00	;4.30
124.700;LEFT;06:07:10;06:07:12	;2.18
124.700;LEFT;06:07:50;06:07:52	;2.18
124.700;LEFT;06:08:20;06:08:22	;2.46
124.700;LEFT;06:08:38;06:08:44	;5.21
124.700;LEFT;06:08:47;06:08:50	;3.03
124.700;LEFT;06:08:51;06:08:54	;3.16
124.700;LEFT;06:08:59;06:09:01	;2.91
124.700;LEFT;06:09:06;06:09:09	;2.30
124.700;LEFT;06:09:12;06:09:15	;2.99
