125.000;LEFT;06:01:04;06:01:05	;1.58
125.000;LEFT;06:01:11;06:01:15	;3.84
125.000;LEFT;06:01:17;06:01:21	;3.81
125.000;LEFT;06:01:26;06:01:29	;2.96
125.000;LEFT;06:01:56;06:02:00	;3.38
125.000;LEFT;06:02:05;06:02:07	;2.38
125.000;LEFT;06:03:07;06:03:09	;1.96
125.000;LEFT;06:03:11;06:03:14	;3.89
125.000;LEFT;06:03:19;06:03:22	;3.12
125.000;LEFT;06:04:13;06:04:16	;3.46
125.000;LEFT;06:04:22;06:04:25	;3.22
125.000;LEFT;06:04:30;06:04:32	;2.04
125.000;LEFT;06:04:34;06:04:37	;2.98
125.000;LEFT;06:04:41;06:04:44	;2.70
125.000;LEFT;06:04:51;06:04:55	;4.14
125.000;LEFT;06:04:58;06:05:01	;2.78
125.000;LEFT;06:05:16;06:05:18	;2.44
125.000;LEFT;06:05:21;06:05:24	;3.16
125.000;LEFT;06:05:27;06:05:29	;1.98
125.000;LEFT;06:05:30;06:05:33	;3.26
125.000;LEFT;06:05:36;06:05:39	;2.68
125.000;LEFT;06:05:56;06:05:59	;2.78
125.000;LEFT;06:06:41;06:06:43	;2.68
125.000;LEFT;06:06:45;06:06:47	;2.70
125.000;LEFT;06:06:51;06:06:54	;3.30
125.000;LEFT;06:06:57;06:06:59	;1.96
125.000;LEFT;06:07:03;06:07:07	;3.72
125.000;LEFT;06:07:10;06:07:13	;2.86
125.000;LEFT;06:07:22;06:07:25	;3.16
125.000;LEFT;06:07:28;06:07:32	;3.98
125.000;LEFT;06:07:41;06:07:43	;2.34
125.000;LEFT;06:07:52;06:07:55	;2.70
125.000;LEFT;06:08:00;06:08:03	;2.75
125.000;LEFT;06:08:10;06:08:12	;2.38
125.000;LEFT;06:08:19;06:08:21	;1.86
125.000;LEFT;06:08:22;06:08:25	;3.22
125.000;LEFT;06:08:29;06:08:31	;2.58
125.000;LEFT;06:08:35;06:08:38	;2.96
125.000;LEFT;06:08:42;06:08:44	;2.66
125.000;LEFT;06:08:49;06:08:51	;2.34
125.000;LEFT;06:09:14;06:09:19	;4.74
125.000;LEFT;06:09:28;06:09:32	;4.02
125.000;LEFT;06:10:44;06:10:47	;2.82
125.000;LEFT;06:10:51;06:10:53	;2.52
125.000;LEFT;06:10:54;06:10:57	;2.64
125.000;LEFT;06:11:00;06:11:02	;2.46
125.000;LEFT;06:11:51;06:11:54	;3.16
125.000;LEFT;06:12:05;06:12:08	;2.50
125.000;LEFT;06:12:09;06:12:13	;4.20
125.000;LEFT;06:12:19;06:12:21	;1.98
125.000;LEFT;06:12:42;06:12:45	;3.42
125.000;LEFT;06:12:49;06:12:51	;2.48
125.000;LEFT;06:13:43;06:13:47	;4.08
125.000;LEFT;06:13:52;06:13:56	;4.18
125.000;LEFT;06:14:38;06:14:41	;2.82
125.000;LEFT;06:14:42;06:14:44	;1.38
125.000;LEFT;06:14:45;06:14:49	;3.74
125.000;LEFT;06:14:53;06:14:56	;2.32
125.000;LEFT;06:15:01;06:15:04	;2.56
125.000;LEFT;06:15:05;06:15:08	;3.60
125.000;LEFT;06:15:13;06:15:17	;3.46
125.000;LEFT;06:15:34;06:15:40	;5.86
125.000;LEFT;06:15:43;06:15:46	;2.22
125.000;LEFT;06:15:47;06:15:50	;3.00
125.000;LEFT;06:15:53;06:15:57	;3.90
125.000;LEFT;06:16:02;06:16:05	;2.62
125.000;LEFT;06:16:08;06:16:11	;3.44
125.000;LEFT;06:16:17;06:16:21	;4.62
125.000;LEFT;06:16:25;06:16:29	;3.74
125.000;LEFT;06:16:33;06:16:35	;2.72
125.000;LEFT;06:16:39;06:16:41	;2.66
125.000;LEFT;06:16:43;06:16:43	;0.54
125.000;LEFT;06:16:47;06:16:49	;2.74
125.000;LEFT;06:16:50;06:16:54	;3.26
125.000;LEFT;06:16:58;06:17:02	;3.16
125.000;LEFT;06:17:45;06:17:47	;2.36
125.000;LEFT;06:18:19;06:18:20	;0.86
125.000;LEFT;06:18:20;06:18:23	;3.10
125.000;LEFT;06:18:28;06:18:30	;2.68
125.000;LEFT;06:18:34;06:18:37	;2.60
125.000;LEFT;06:19:30;06:19:34	;3.06
125.000;LEFT;06:19:49;06:19:52	;3.04
125.000;LEFT;06:19:56;06:19:59	;2.84
125.000;LEFT;06:20:07;06:20:11	;3.94
125.000;LEFT;06:21:28;06:21:31	;2.82
125.000;LEFT;06:21:33;06:21:37	;3.72
125.000;LEFT;06:21:41;06:21:44	;3.00
125.000;LEFT;06:22:01;06:22:05	;3.36
125.000;LEFT;06:22:11;06:22:14	;3.32
125.000;LEFT;06:22:19;06:22:21	;2.36
125.000;LEFT;06:23:23;06:23:28	;4.42
125.000;LEFT;06:23:33;06:23:36	;2.90
125.000;LEFT;06:24:14;06:24:17	;3.14
125.000;LEFT;06:24:29;06:24:32	;3.20
125.000;LEFT;06:24:36;06:24:39	;3.06
125.000;LEFT;06:25:02;06:25:06	;3.68
125.000;LEFT;06:25:11;06:25:14	;3.04
125.000;LEFT;06:25:18;06:25:21	;3.32
125.000;LEFT;06:25:25;06:25:28	;2.94
125.000;LEFT;06:25:33;06:25:35	;2.40
125.000;LEFT;06:25:56;06:25:59	;2.84
125.000;LEFT;06:26:05;06:26:08	;3.52
125.000;LEFT;06:26:13;06:26:16	;2.96
125.000;LEFT;06:26:19;06:26:23	;3.84
125.000;LEFT;06:26:29;06:26:32	;2.36
125.000;LEFT;06:26:43;06:26:45	;2.38
125.000;LEFT;06:26:48;06:26:51	;3.06
125.000;LEFT;06:26:52;06:26:56	;3.78
125.000;LEFT;06:26:59;06:27:02	;2.76
125.000;LEFT;06:27:06;06:27:09	;2.62
